id_colaborador,nome,departamento,horas_extras,horas_trabalhadas,tickets_fora_horario,horario_ticket,nivel_clima
1523,Srta. Isabella Sousa,Recursos Humanos,3.2,8.7,6,16:08,9.0
1602,Lucas Gabriel Machado,Recursos Humanos,12.5,7.7,1,11:01,3.0
1526,Bernardo Vasconcelos,TI,19.4,11.0,3,08h24,1.0
1031,Stephany Lopes,Tecnologia da Informação,15.7,10.3,1,19:12,9.0
1616,Theodoro da Cruz,Comercial,15.6,10.2,4,16:40,8.0
1585,Bento Almeida,RH,13.1,9.2,1,10h38,5.0
1444,Arthur Martins,TI,7.0,9.3,3,18h19,7.0
1732,Breno Porto,Comercial,3.5,7.7,3,01:29,2.0
1076,Ester Dias,TI,4.1,11.2,2,08h57,8.0
1411,Dr. Murilo Nogueira,Recursos Humanos,17.9,6.5,2,06h40,5.0
1568,Helena da Mota,Comercial,5.4,8.9,4,05h43,7.0
1070,Ana Clara Sousa,Recursos Humanos,19.6,9.7,5,14h53,3.0
1675,Srta. Maria Fernanda Gomes,TI,9.3,8.2,1,20:38,8.0
1101,Guilherme Porto,Comercial,8.5,9.6,4,17:08,
1894,Maya Martins,ti,12.2,8.7,4,16h33,6.0
1925,Ágatha Sampaio,Tecnologia da Informação,13.2,7.5,5,21h08,6.0
1629,Dr. Breno Costa,Recursos Humanos,13.2,7.3,3,01:17,5.0
1299,Pietra Lopes,Operações,8.8,8.5,2,13:07,6.0
1924,Daniel Cassiano,Recursos Humanos,12.8,8.3,3,06h13,4.0
1424,Ayla Lima,TI,13.0,8.6,7,14:15,5.0
1096,Marcos Vinicius da Mata,Operacoes,,10.7,1,01:45,5.0
1900,Gustavo Henrique Brito,RH,10.4,10.1,2,20:24,9.0
1260,Srta. Maria Júlia Sousa,RH,8.5,4.6,0,,1.0
1350,Sr. Igor Costa,Financeiro,0.0,7.4,2,01:41,5.0
1528,Letícia Barros,Financeiro,15.1,10.5,6,15h13,4.0
1694,Yasmin Vargas,ti,,8.7,2,05:23,10.0
1361,Liz Camargo,RH,11.8,8.9,2,07:19,5.0
1611,Davi Luiz Vargas,Operações,7.2,6.5,2,23h39,1.0
1884,Maria Teixeira,Recursos Humanos,16.5,7.5,3,11:57,6.0
1720,Eduardo Moraes,RH,12.1,8.1,3,03:34,7.0
1486,Sra. Heloísa Farias,Tecnologia da Informação,12.7,11.1,1,19:14,6.0
1693,Srta. Luiza Câmara,Operações,1.0,8.5,1,14:32,8.0
1678,Heitor Cardoso,Recursos Humanos,18.9,10.6,3,00:37,2.0
1809,Ana Laura Jesus,Recursos Humanos,13.3,10.4,2,10h52,1.0
1408,Igor Siqueira,ti,15.2,8.4,5,16h58,7.0
1740,Dr. Rafael Cassiano,Operacoes,21.4,8.6,5,,8.0
1213,Ágatha Borges,Tecnologia da Informação,12.8,9.2,5,21h50,7.0
1589,Ravy Marques,Operacoes,9.2,8.1,4,03h59,6.0
1365,Srta. Mariana da Mota,Comercial,11.4,8.8,6,19:22,1.0
1199,Matteo Peixoto,RH,5.8,7.7,5,22:31,8.0
1636,Gabriel Siqueira,Financeiro,19.0,8.7,3,07h13,2.0
1628,Vitor Ribeiro,RH,,11.4,1,18h01,2.0
1828,Sofia Moreira,Recursos Humanos,,9.4,4,08h38,4.0
1352,Vitor Hugo Fonseca,Operações,16.2,8.8,3,02:48,5.0
1329,Theodoro Garcia,Comercial,8.8,8.4,4,11:58,6.0
1981,Luísa Carvalho,RH,2.4,8.2,3,11h08,6.0
1837,Nicole Lopes,Recursos Humanos,11.2,10.3,1,20h31,1.0
1244,Valentina Vargas,RH,6.5,8.6,6,02h09,8.0
1286,Kamilly Castro,Financeiro,25.3,8.1,1,,4.0
1289,Sr. Calebe Santos,Recursos Humanos,7.7,5.7,1,19h59,
1598,Anthony Vargas,Comercial,4.2,9.4,3,05h41,6.0
1761,Pedro Henrique Nascimento,Tecnologia da Informação,18.9,8.2,7,23:44,5.0
1059,Nicole das Neves,Operacoes,16.9,9.4,2,01:37,1.0
1622,Ana Beatriz Araújo,Operacoes,20.2,9.5,1,12:27,10.0
1318,Dr. Lucas Gabriel Sales,Financeiro,10.9,10.0,1,20h40,10.0
1010,Raquel Rocha,Financeiro,11.3,8.0,3,17h18,2.0
1237,João Pedro Sousa,Tecnologia da Informação,11.5,12.4,3,08h43,10.0
